Species,Lifestyle,Accession number,Host species,Label
Listeria virus List36,Virulent,NC_024364,Listeria monocytogenes,1
Listeria virus LMSP25,Virulent,NC_024360,Listeria monocytogenes,1
Listeria virus LMTA148,Virulent,NC_024787,Listeria monocytogenes,1
Leuconostoc virus Ln8,Virulent,NC_027377,Leuconostoc mesenteroides,1
Leuconostoc virus Ln9,Virulent,NC_027358,Leuconostoc mesenteroides,1
Listeria virus LP26,Virulent,NC_024375,Listeria monocytogenes,1
Listeria virus LP048,Virulent,NC_024359,Listeria monocytogenes,1
Listeria virus LP083-2,Virulent,NC_024383,Listeria monocytogenes,1
Listeria virus LP114,Virulent,NC_024392,Listeria monocytogenes,1
Salmonella virus LSPA1,Virulent,NC_026017,Salmonella enterica,1
Streptococcus phage M102AD,Virulent,NC_028984,Streptococcus mutans,1
Microcystis phage MaMV-DC,Virulent,NC_029002,Microcystis aeruginosa,1
Salmonella virus Maynard,Virulent,NC_022768,Salmonella enterica,1
Staphylococcus virus MCE2014,Virulent,NC_025416,Staphylococcus aureus,1
Bacillus virus Megatron,Virulent,NC_024211,Bacillus thuringiensis,1
Chimpanzee faeces associated microphage 2,Virulent,NC_030476,NA,1
Citrobacter phage Miller,Virulent,NC_025414,NA,1
Citrobacter virus Moon,Virulent,NC_027331,Citrobacter freundii,1
Pseudomonas phage MP48,Virulent,NC_024782,Pseudomonas aeruginosa,1
Klebsiella virus K244,Virulent,NC_025418,Klebsiella pneumoniae,1
Prochlorococcus virus PTIM40,Virulent,NC_028663,Prochlorococcus marinus,1
Prochlorococcus phage P-TIM68,Virulent,NC_028955,NA,1
Lactococcus phage P078,Virulent,NC_024215,Lactococcus lactis,1
Lactococcus phage P092,Virulent,NC_024203,Lactococcus lactis,1
Staphylococcus virus P108,Virulent,NC_025426,Staphylococcus aureus,1
Lactococcus phage P118,Virulent,NC_024208,Lactococcus lactis,1
Polaribacter virus P12002L,Virulent,NC_028924,NA,1
Polaribacter virus P12002S,Virulent,NC_028763,NA,1
Lactococcus phage P162,Virulent,NC_024214,Lactococcus lactis,1
Thermus virus P23-77,Virulent,NC_013197,Thermus thermophilus,1
Croceibacter phage P2559Y,Virulent,NC_023614,Croceibacter atlanticus,1
Rhodoferax phage P26218,Virulent,NC_029061,Rhodoferax sp. IMCC26218,1
Escherichia virus P483,Virulent,NC_028822,Escherichia coli,1
Escherichia virus P694,Virulent,NC_028863,Escherichia coli,1
Verrucomicrobia phage P8625,Virulent,NC_029047,NA,1
Propionibacterium phage PA1-14,Virulent,NC_028694,Cutibacterium acnes,1
Pseudomonas virus PA1KOR,Virulent,NC_023700,Pseudomonas aeruginosa,1
Pseudomonas phage Pa2,Virulent,NC_027345,Pseudomonas aeruginosa,1
Propionibacterium phage PAC1,Virulent,NC_028967,Cutibacterium acnes,1
Propionibacterium virus Pacnes201215,Virulent,NC_027371,Cutibacterium acnes,1
Bacillus virus Page,Virulent,NC_022764,Priestia megaterium,1
Aeromonas virus pAh6C,Virulent,NC_025459,Aeromonas hydrophila,1
Bacillus virus Palmer,Virulent,NC_028926,Priestia megaterium,1
Pseudomonas virus PaMx28,Virulent,NC_028931,Pseudomonas aeruginosa,1
Pseudomonas phage PaMx42,Virulent,NC_028879,Pseudomonas aeruginosa,1
Pseudomonas virus PaMx74,Virulent,NC_028809,Pseudomonas aeruginosa,1
Pseudomonas phage PaoP5,Virulent,NC_029083,Pseudomonas aeruginosa,1
Bacillus phage Pavlov,Virulent,NC_028782,Priestia megaterium,1
Escherichia virus PBECO4,Virulent,NC_027364,Escherichia coli,1
Cronobacter virus PBES02,Virulent,NC_028672,Cronobacter sp.,1
Escherichia virus PE3-1,Virulent,NC_024379,Escherichia coli,1
Pectobacterium virus Peat1,Virulent,NC_029081,Pectobacterium atrosepticum,1
Edwardsiella phage PEi20,Virulent,NC_028683,Edwardsiella ictaluri,1
Eel River basin pequenovirus,Virulent,NC_026665,NA,1
Acinetobacter virus Petty,Virulent,NC_023570,Acinetobacter baumannii,1
Pseudomonas virus Pf10,Virulent,NC_027292,Pseudomonas fluorescens,1
Enterobacter virus PG7,Virulent,NC_023561,Enterobacter cloacae,1
Lelliottia virus phD2B,Virulent,NC_025450,Lelliottia sp. GL2,1
Vibrio phage phi 1,Virulent,NC_028799,Vibrio cholerae,1
Vibrio virus phi3,Virulent,NC_028895,Vibrio cholerae,1
Vibrio virus A318,Virulent,NC_025822,Vibrio alginolyticus,1
Idiomarinaceae phage Phi1M2-2,Virulent,NC_025471,Idiomarinaceae bacterium M2-2,1
Acinetobacter virus phiAB1,Virulent,NC_028675,Acinetobacter baumannii,1
Acinetobacter phage phiAC-1,Virulent,NC_028995,Acinetobacter soli,1
Achromobacter phage phiAxp-1,Virulent,NC_029033,Achromobacter xylosoxidans,1
Achromobacter phage phiAxp-2,Virulent,NC_029106,Achromobacter xylosoxidans,1
Citrobacter virus CFP1,Virulent,NC_028880,Citrobacter freundii,1
Pseudomonas virus CHU,Virulent,NC_028933,Pseudomonas aeruginosa,1
Clostridium phage phiCT19406C,Virulent,NC_029006,Clostridium tetani,1
Erwinia virus Ea2809,Virulent,NC_027340,Erwinia amylovora,1
Erwinia virus EaH1,Virulent,NC_023610,Erwinia amylovora,1
Enterobacter virus Eap1,Virulent,NC_028772,Klebsiella aerogenes,1
Enterobacter phage phiEap-2,Virulent,NC_028695,Klebsiella aerogenes,1
Staphylococcus virus IPLAC1C,Virulent,NC_028962,Staphylococcus sp.,1
Staphylococcus virus Rodi,Virulent,NC_028765,Staphylococcus sp.,1
Lactobacillus virus phiLdb,Virulent,NC_022762,Lactobacillus delbrueckii,1
Leuconostoc virus LN03,Virulent,NC_024390,Leuconostoc pseudomesenteroides,1
Leuconostoc virus LN12,Virulent,NC_024385,Leuconostoc pseudomesenteroides,1
Leuconostoc virus LN25,Virulent,NC_024386,Leuconostoc mesenteroides,1
Leuconostoc virus LN34,Virulent,NC_024388,Leuconostoc mesenteroides,1
Leuconostoc virus LN6B,Virulent,NC_024380,Leuconostoc pseudomesenteroides,1
Leuconostoc phage phiLNTR2,Virulent,NC_024389,Leuconostoc mesenteroides,1
Leuconostoc virus LNTR3,Virulent,NC_024378,Leuconostoc mesenteroides,1
Sinorhizobium virus M12,Virulent,NC_027204,Sinorhizobium meliloti,1
Sinorhizobium phage phiM9,Virulent,NC_028676,Sinorhizobium meliloti,1
Sinorhizobium virus N3,Virulent,NC_028945,Sinorhizobium meliloti,1
Pseudomonas phage PhiPA3,Virulent,NC_028999,Pseudomonas aeruginosa,1
Pseudomonas virus PhiPSA2,Virulent,NC_024362,Pseudomonas syringae,1
Pseudomonas virus Psa374,Virulent,NC_023601,Pseudomonas syringae,1
Pseudomonas virus Ptobp6g,Virulent,NC_023718,Pseudomonas tolaasii,1
Staphylococcus virus SA12,Virulent,NC_023573,Staphylococcus aureus,1
Streptomyces phage phiSAJS1,Virulent,NC_029005,Streptomyces avermitilis,1
Escherichia virus SUSP1,Virulent,NC_028808,Escherichia coli,1
Escherichia virus SUSP2,Virulent,NC_028935,Escherichia coli,1
Propionibacterium virus PHL009M11,Virulent,NC_027336,Cutibacterium acnes,1
Propionibacterium virus PHL025M00,Virulent,NC_027357,Cutibacterium acnes,1
Propionibacterium phage PHL030N00,Virulent,NC_027373,Cutibacterium acnes,1
Propionibacterium virus PHL041M10,Virulent,NC_027391,Cutibacterium acnes,1
Propionibacterium phage PHL055N00,Virulent,NC_027400,Cutibacterium acnes,1
Propionibacterium virus PHL070N00,Virulent,NC_027333,Cutibacterium acnes,1
Propionibacterium phage PHL082M00,Virulent,NC_027359,Cutibacterium acnes,1
Propionibacterium phage PHL085N00,Virulent,NC_027361,Cutibacterium acnes,1
Propionibacterium virus PHL092M00,Virulent,NC_027385,Cutibacterium acnes,1
Propionibacterium virus PHL095N00,Virulent,NC_027401,Cutibacterium acnes,1
Propionibacterium virus PHL116M00,Virulent,NC_027362,Cutibacterium acnes,1
Propionibacterium virus PHL132N00,Virulent,NC_027367,Cutibacterium acnes,1
Propionibacterium virus PHL141N00,Virulent,NC_027389,Cutibacterium acnes,1
Propionibacterium phage PHL150M00,Virulent,NC_027294,Cutibacterium acnes,1
Propionibacterium virus PHL152M00,Virulent,NC_027386,Cutibacterium acnes,1
Propionibacterium virus PHL171M01,Virulent,NC_027346,Cutibacterium acnes,1
Propionibacterium virus PHL179M00,Virulent,NC_027370,Cutibacterium acnes,1
Propionibacterium virus PHL199M00,Virulent,NC_027295,Cutibacterium acnes,1
Propionibacterium virus PHL301M00,Virulent,NC_027354,Cutibacterium acnes,1
Alphapleolipovirus HHPV2,Virulent,NC_023592,Haloarcula hispanica,1
Proteus virus PM75,Virulent,NC_027363,Proteus mirabilis,1
Proteus virus PM85,Virulent,NC_027379,Proteus mirabilis,1
Proteus virus PM93,Virulent,NC_027390,Proteus mirabilis,1
Pectobacterium virus PM1,Virulent,NC_023865,Pectobacterium carotovorum,1
Proteus virus PM16,Virulent,NC_027342,Proteus mirabilis,1
Pectobacterium bacteriophage PM2,Virulent,NC_028940,NA,1
Escherichia virus Pollock,Virulent,NC_027381,Escherichia coli,1
Proteus phage pPM_01,Virulent,NC_028812,Proteus mirabilis,1
Pseudomonas virus PPPL1,Virulent,NC_028661,Pseudomonas syringae,1
Pseudoalteromonas phage Pq0,Virulent,NC_029100,Pseudoalteromonas sp. Bq0,1
Acinetobacter phage Presley,Virulent,NC_023581,Acinetobacter baumannii,1
Serratia phage PS2,Virulent,NC_024121,Serratia marcescens,1
Shigella virus Sb1,Virulent,NC_023589,Shigella boydii,1
Shigella virus PSf2,Virulent,NC_026010,Shigella flexneri,1
Shigella virus Pss1,Virulent,NC_025829,Shigella sonnei,1
Yersinia virus PST,Virulent,NC_027404,Yersinia pseudotuberculosis,1
Vibrio virus PV94,Virulent,NC_027368,Vibrio vulnificus,1
Vibrio phage PVA1,Virulent,NC_023605,Vibrio alginolyticus,1
Aeromonas phage PX29,Virulent,NC_023688,Aeromonas salmonicida,1
Vibrio phage qdvp001,Virulent,NC_029057,Vibrio parahaemolyticus,1
Escherichia virus QL01,Virulent,NC_028847,NA,1
Enterobacteria phage RB27,Virulent,NC_025448,Escherichia coli,1
Escherichia virus RB3,Virulent,NC_025419,Escherichia coli,1
Enterobacteria phage RB68,Virulent,NC_027979,Escherichia coli,1
Dickeya virus RC2014,Virulent,NC_025452,Dickeya sp.,1
Rhodobacter virus RcTitan,Virulent,NC_029097,Rhodobacter capsulatus,1
Delftia phage RG-2014,Virulent,NC_027348,Delftia tsuruhatensis,1
Rhizobium phage RHEph06,Virulent,NC_027296,Rhizobium etli,1
Bacillus virus Riley,Virulent,NC_024788,Bacillus thuringiensis,1
Ralstonia virus RS603,Virulent,NC_025454,Ralstonia solanacearum,1
Ralstonia virus RSB2,Virulent,NC_023736,Ralstonia solanacearum,1
Ralstonia virus RSF1,Virulent,NC_028899,Ralstonia solanacearum,1
Ralstonia virus RSJ2,Virulent,NC_028988,Ralstonia solanacearum,1
Ralstonia virus RSJ5,Virulent,NC_029007,Ralstonia solanacearum,1
Ralstonia virus RSL2,Virulent,NC_028950,NA,1
Synechococcus virus SCBP4,Virulent,NC_025464,Synechococcus sp. CB0101,1
Synechococcus virus SMbCM100,Virulent,NC_023584,Synechococcus sp. WH 7803,1
Cronobacter phage S13,Virulent,NC_028773,Cronobacter sakazakii,1
Staphylococcus phage SA1,Virulent,NC_027991,Staphylococcus aureus,1
Streptomyces phage SF1,Virulent,NC_028807,Streptomyces flavovirens,1
Shigella virus SfMu,Virulent,NC_027382,Shigella flexneri,1
Bacillus virus Shanette,Virulent,NC_028983,Bacillus cereus,1
Shigella virus UTAM,Virulent,NC_025437,Shigella flexneri,1
Salmonella virus Shivani,Virulent,NC_028754,Salmonella enterica,1
Vibrio phage SHOU24,Virulent,NC_023569,Vibrio parahaemolyticus,1
Lactococcus virus Sl4,Virulent,NC_028900,Lactococcus lactis,1
Escherichia phage slur01,Virulent,NC_028831,Escherichia coli,1
Escherichia phage slur02,Virulent,NC_028927,Escherichia coli,1
Escherichia phage slur05,Virulent,NC_028901,Escherichia coli,1
Escherichia phage slur07,Virulent,NC_028780,NA,1
Escherichia virus slur09,Virulent,NC_028840,NA,1
Escherichia phage slur14,Virulent,NC_028448,Escherichia coli,1
Escherichia virus slur16,Virulent,NC_028248,Escherichia coli,1
Salmonella virus SPN3US,Virulent,NC_027402,Salmonella enterica,1
Shewanella virus Spp001,Virulent,NC_023594,Shewanella putrefaciens,1
Salmonella virus SSE121,Virulent,NC_027351,NA,1
Staphylococcus phage StB20-like,Virulent,NC_028821,Staphylococcus epidermidis,1
Citrobacter virus Stevie,Virulent,NC_027350,Citrobacter freundii,1
Salmonella virus STML198,Virulent,NC_027344,NA,1
Salmonella virus STP4a,Virulent,NC_026607,Salmonella enterica,1
Streptococcus phage Str-PAP-1,Virulent,NC_028666,Streptococcus parauberis,1
Brevibacillus phage Sundance,Virulent,NC_028749,Brevibacillus laterosporus,1
Klebsiella virus Sushi,Virulent,NC_028774,Klebsiella pneumoniae,1
Staphylococcus virus G1,Virulent,NC_025417,Staphylococcus xylosus,1
Tsukamurella virus TIN2,Virulent,NC_028865,Tsukamurella inchonensis,1
Tsukamurella virus TIN3,Virulent,NC_028966,Tsukamurella inchonensis,1
Pseudomonas virus TL,Virulent,NC_023583,Pseudomonas aeruginosa,1
Bacillus virus TsarBomba,Virulent,NC_028890,Bacillus cereus,1
Salmonella virus UAB87,Virulent,NC_027360,Salmonella enterica,1
Vibrio virus ValKK3,Virulent,NC_028829,Vibrio alginolyticus,1
Acinetobacter phage vB_AbaM_Acibel004,Virulent,NC_025462,Acinetobacter baumannii,1
Acinetobacter virus Acibel007,Virulent,NC_025457,Acinetobacter baumannii,1
Acinetobacter virus IME200,Virulent,NC_028987,Acinetobacter baumannii,1
Acinetobacter virus PD6A3,Virulent,NC_028684,Acinetobacter baumannii,1
Acinetobacter virus PDAB9,Virulent,NC_028679,Acinetobacter baumannii,1
Escherichia virus AYO145A,Virulent,NC_028825,Escherichia coli,1
Escherichia virus CVM10,Virulent,NC_027995,Escherichia coli,1
Escherichia virus FFH2,Virulent,NC_024134,Escherichia coli,1
Escherichia virus JS09,Virulent,NC_024124,Escherichia coli,1
Escherichia virus PhAPEC2,Virulent,NC_024794,Escherichia coli,1
Escherichia virus VR20,Virulent,NC_028894,Escherichia coli,1
Escherichia virus VR25,Virulent,NC_028925,Escherichia coli,1
Escherichia virus VR26,Virulent,NC_028957,Escherichia coli,1
Escherichia virus VR5,Virulent,NC_028881,Escherichia coli,1
Escherichia virus ep3,Virulent,NC_025430,Escherichia coli,1
Escherichia virus VpaE1,Virulent,NC_027337,Escherichia coli,1
Escherichia virus APEC5,Virulent,NC_024786,Escherichia coli,1
Escherichia virus APEC7,Virulent,NC_024790,Escherichia coli,1
Escherichia virus FFH1,Virulent,NC_024139,Escherichia coli,1
Enterococcus phage vB_Efae230P-4,Virulent,NC_025467,Enterococcus faecium,1
Enterococcus phage vB_EfaP_IME195,Virulent,NC_028693,Enterococcus faecalis,1
Enterococcus virus IME196,Virulent,NC_028990,Enterococcus faecalis,1
Enterococcus phage vB_EfaS_IME198,Virulent,NC_029016,Enterococcus faecalis,1
Klebsiella virus Kp1,Virulent,NC_028688,Klebsiella pneumoniae,1
Klebsiella virus Kp2,Virulent,NC_028664,Klebsiella pneumoniae,1
Klebsiella phage vB_KpnM_KB57,Virulent,NC_028659,Klebsiella pneumoniae,1
Klebsiella virus KpV289,Virulent,NC_028977,Klebsiella pneumoniae,1
Klebsiella virus KpV41,Virulent,NC_028670,Klebsiella pneumoniae,1
Klebsiella virus SU503,Virulent,NC_028816,Klebsiella pneumoniae,1
Klebsiella virus SU552A,Virulent,NC_028870,Klebsiella pneumoniae,1
Mannheimia phage vB_MhM_3927AP2,Virulent,NC_028766,Mannheimia haemolytica,1
Microbacterium virus ISF9,Virulent,NC_023859,Microbacterium oxydans,1
Pseudomonas virus PS44,Virulent,NC_028939,Pseudomonas aeruginosa,1
Pseudomonas virus Ab28,Virulent,NC_026600,Pseudomonas aeruginosa,1
Pseudomonas virus Ab03,Virulent,NC_026587,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeM_PAO1_Ab27,Virulent,NC_026586,Pseudomonas aeruginosa,1
Pseudomonas virus PS24,Virulent,NC_028882,Pseudomonas aeruginosa,1
Pseudomonas virus Ab09,Virulent,NC_024140,Pseudomonas aeruginosa,1
Pseudomonas virus Ab22,Virulent,NC_026599,Pseudomonas aeruginosa,1
Pseudomonas virus Ab05,Virulent,NC_026602,Pseudomonas aeruginosa,1
Pseudomonas virus ABTNL,Virulent,NC_027375,Pseudomonas aeruginosa,1
Pseudomonas phage vB_PaeS_PAO1_Ab30,Virulent,NC_026601,Pseudomonas aeruginosa,1
Pseudomonas virus PM105,Virulent,NC_028667,Pseudomonas aeruginosa,1
Pseudomonas virus Ab26,Virulent,NC_024381,Pseudomonas aeruginosa,1
Paracoccus phage vB_PmaS-R3,Virulent,NC_026608,Paracoccus marcusii,1
Proteus phage vB_PmiM_Pm5461,Virulent,NC_028762,Proteus mirabilis,1
Proteus virus Pm5460,Virulent,NC_028916,Proteus mirabilis,1
Rhizobium virus P106B,Virulent,NC_023566,Rhizobium gallicum,1
Rhizobium phage vB_RleM_P10VF,Virulent,NC_025429,Rhizobium leguminosarum,1
Rhizobium phage vB_RleS_L338C,Virulent,NC_023502,Rhizobium leguminosarum,1
Salmonella virus SJ2,Virulent,NC_023856,Salmonella enterica,1
Salmonella virus SJ3,Virulent,NC_024122,NA,1
Salmonella phage vB_SenS-Ent2,Virulent,NC_023608,Salmonella enterica,1
Salmonella phage vB_SenS-Ent3,Virulent,NC_024204,Salmonella enterica,1
Stenotrophomonas phage vB_SmaS-DLP_2,Virulent,NC_029019,Stenotrophomonas maltophilia,1
Yersinia virus TG1,Virulent,NC_028820,Yersinia enterocolitica,1
Yersinia virus AP10,Virulent,NC_028655,Yersinia enterocolitica,1
Yersinia virus AP5,Virulent,NC_025451,Yersinia enterocolitica,1
Yersinia virus ISAO8,Virulent,NC_028850,Yersinia enterocolitica,1
Pseudomonas virus VCM,Virulent,NC_029065,NA,1
Enterococcus virus VD13,Virulent,NC_024212,Enterococcus faecalis,1
Vibrio phage VH7D,Virulent,NC_023568,Vibrio harveyi,1
Bacillus phage VMY22,Virulent,NC_028789,Bacillus cereus,1
Vibrio phage VpKK5,Virulent,NC_026610,Vibrio parahaemolyticus,1
Listeria virus WIL1,Virulent,NC_025440,Listeria monocytogenes,1
Lactococcus virus WP2,Virulent,NC_024149,Lactococcus garvieae,1
uncultured phage WW-nAnB,Virulent,NC_026582,NA,1
Uncultured phage WW-nAnB strain 2,Virulent,NC_026612,NA,1
Uncultured phage WW-nAnB strain 3,Virulent,NC_026613,NA,1
Paenibacillus phage Xenia,Virulent,NC_028837,Paenibacillus larvae,1
Escherichia virus YD2008s,Virulent,NC_027383,Escherichia coli,1
Yersinia virus Yepf,Virulent,NC_023715,Yersinia pestis,1
Pseudomonas phage YH30,Virulent,NC_029101,Pseudomonas aeruginosa,1
Pseudomonas phage YH6,Virulent,NC_027388,Pseudomonas aeruginosa,1
Acinetobacter virus AbC62,Virulent,NC_024785,Acinetobacter baumannii,1
Acinetobacter phage YMC11/12/R2315,Virulent,NC_028855,Acinetobacter sp.,1
Acinetobacter phage YMC13/03/R2096,Virulent,NC_027332,Acinetobacter baumannii,1
Parabacteroides phage YZ-2015a,Virulent,NC_029012,Parabacteroides distasonis,1
Parabacteroides phage YZ-2015b,Virulent,NC_029014,Parabacteroides merdae,1
Acidovorax virus ACP17,Virulent,NC_041997,Acidovorax citrulli,1
Acinetobacter virus AB1,Virulent,NC_042028,Acinetobacter baumannii,1
Acinetobacter virus AbP2,Virulent,NC_041998,Acinetobacter baumannii,1
Acinetobacter virus AB2,Virulent,NC_041857,Acinetobacter baumannii,1
Acinetobacter virus SH-Ab 15519,Virulent,NC_041905,Acinetobacter baumannii,1
Acinetobacter virus WCHABP1,Virulent,NC_041966,Acinetobacter baumannii,1
Acinetobacter virus WCHABP12,Virulent,NC_041924,Acinetobacter baumannii,1
Acinetobacter virus WCHABP5,Virulent,NC_041967,Acinetobacter baumannii,1
Acinetobacter virus ME3,Virulent,NC_041884,Acinetobacter baumannii,1
Acinetobacter virus AS11,Virulent,NC_041915,Acinetobacter baumannii,1
Acinetobacter virus AS12,Virulent,NC_041914,Acinetobacter baumannii,1
Acinetobacter virus B1,Virulent,NC_042003,Acinetobacter baumannii,1
Acinetobacter virus B3,Virulent,NC_042004,Acinetobacter baumannii,1
Acintetobacter virus B5,Virulent,NC_042005,Acinetobacter baumannii,1
Acinetobacter virus D2,Virulent,NC_042124,Acinetobacter baumannii,1
Acinetobacter virus P1,Virulent,NC_042006,Acinetobacter pittii,1
Acinetobacter virus P2,Virulent,NC_042007,Acinetobacter pittii,1
Aeromonas virus Asgz,Virulent,NC_042019,Aeromonas salmonicida,1
Aeromonas virus pIS4A,Virulent,NC_042037,Aeromonas sp. IS4,1
Agrobacterium virus Atuph07,Virulent,NC_042013,Agrobacterium tumefaciens,1
Alces alces faeces associated microvirus MP10 5560,Virulent,NC_040350,NA,1
Alces alces faeces associated microvirus MP11 5517,Virulent,NC_040342,NA,1
Alces alces faeces associated microvirus MP12 5423,Virulent,NC_040328,NA,1
Alces alces faeces associated microvirus MP15 5067,Virulent,NC_040374,NA,1
Alces alces faeces associated microvirus MP18 4940,Virulent,NC_040373,NA,1
Alces alces faeces associated microvirus MP21 4718,Virulent,NC_040349,NA,1
Alces alces faeces associated microvirus MP3 6497,Virulent,NC_040375,NA,1
Aquamicrobium virus P14,Virulent,NC_041912,Aquamicrobium sp. H14,1
Arthrobacter virus Adat,Virulent,NC_042020,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Amigo,Virulent,NC_041949,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Beans,Virulent,NC_041999,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Bennie,Virulent,NC_041938,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Brent,Virulent,NC_041930,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Captnmurica,Virulent,NC_041951,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Circum,Virulent,NC_041948,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Colucci,Virulent,NC_042000,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus DrRobert,Virulent,NC_041939,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Glenn,Virulent,NC_041940,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Gordon,Virulent,NC_041952,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus HunterDalle,Virulent,NC_041941,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Jasmine,Virulent,NC_041875,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Jawnski,Virulent,NC_041931,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Joann,Virulent,NC_041942,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Korra,Virulent,NC_041943,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Laroye,Virulent,NC_041947,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Martha,Virulent,NC_041932,Arthrobacter sp. ATCC 21022,1
Arthrobacteria virus Molivia,Virulent,NC_042001,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Piccoletto,Virulent,NC_042014,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Preamble,Virulent,NC_041944,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Trina,Virulent,NC_042053,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Pumancara,Virulent,NC_041945,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Shade,Virulent,NC_042015,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Sonny,Virulent,NC_041933,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Tank,Virulent,NC_041961,Arthrobacter sp. ATCC 21022,1
Arthrobacter virus Wayne,Virulent,NC_041946,Arthrobacter sp. ATCC 21022,1
Bacillus virus Mgbh1,Virulent,NC_041879,Bacillus sp. (in: Bacteria),1
Bacillus virus BM15,Virulent,NC_042140,Priestia megaterium,1
Bacillus virus PBS1,Virulent,NC_043027,Bacillus subtilis,1
Bacillus virus Taylor,Virulent,NC_041858,Bacillus pumilus,1
Brevibacillus virus Jimmer,Virulent,NC_041976,Brevibacillus laterosporus,1
Campylobacter virus Los1,Virulent,NC_041896,Campylobacter jejuni,1
Citrobacter virus CF1,Virulent,NC_042067,Citrobacter freundii,1
Citrobacter virus Mordin,Virulent,NC_041977,Citrobacter freundii,1
Corynebacterium virus C3PO,Virulent,NC_042085,Corynebacterium vitaeruminis,1
Corynebacterium virus Darwin,Virulent,NC_042086,Corynebacterium vitaeruminis,1
Corynebacterium virus Zion,Virulent,NC_042087,Corynebacterium vitaeruminis,1
Corynebacterium virus phi673,Virulent,NC_042354,Corynebacterium glutamicum,1
Corynebacterium virus phi674,Virulent,NC_042355,Corynebacterium glutamicum,1
Dinoroseobacter virus D5C,Virulent,NC_041921,Dinoroseobacter shibae,1
Edwardsiella virus eiAU,Virulent,NC_042029,Edwardsiella ictaluri,1
Enterobacter virus EcL1,Virulent,NC_042122,Enterobacter cloacae,1
Enterobacter virus Eap3,Virulent,NC_041980,Klebsiella aerogenes,1
Escherichia virus DE3,Virulent,NC_042057,Escherichia coli,1
Enterococcus virus IMEEF1,Virulent,NC_041959,Enterococcus faecalis,1
Enterococcus virus LY0322,Virulent,NC_042125,Enterococcus faecalis,1
Enterococcus virus PMBT2,Virulent,NC_042101,Enterococcus faecalis,1
Enterococcus virus SAP6,Virulent,NC_041960,Enterococcus faecalis,1
Enterococcus virus phiSHEF2,Virulent,NC_042021,Enterococcus faecalis,1
Enterococcus virus phiSHEF4,Virulent,NC_042022,Enterococcus faecalis,1
Enterococcus virus phiSHEF5,Virulent,NC_042023,Enterococcus faecalis,1
Enterococcus virus AL2,Virulent,NC_042127,Enterococcus faecalis,1
Enterococcus virus AL3,Virulent,NC_042126,Enterococcus faecalis,1
Erwinia virus M7,Virulent,NC_041978,Erwinia amylovora,1
Erwinia virus Deimos,Virulent,NC_041972,Erwinia amylovora,1
Erwinia virus Desertfox,Virulent,NC_042098,Erwinia amylovora,1
Erwinia virus Machina,Virulent,NC_042056,Erwinia amylovora,1
Erwinia virus RAY,Virulent,NC_041973,Erwinia amylovora,1
Erwinia virus Risingsun,Virulent,NC_042018,Erwinia amylovora,1
Erwinia virus Simmy50,Virulent,NC_041974,Erwinia amylovora,1
Erwinia virus SpecialG,Virulent,NC_041975,Erwinia amylovora,1
Escherichia virus TP1,Virulent,NC_041979,Escherichia coli,1
Escherichia virus O157tp3,Virulent,NC_041863,Escherichia coli,1
Escherichia virus O157tp6,Virulent,NC_041864,Escherichia coli,1
Escherichia virus APECc02,Virulent,NC_041869,Escherichia coli,1
Escherichia virus C119,Virulent,NC_042046,Escherichia coli,1
Escherichia virus CF2,Virulent,NC_041919,Escherichia coli,1
Escherichia virus EC1UPM,Virulent,NC_041906,Escherichia coli,1
Escherichia virus ECD7,Virulent,NC_041936,Escherichia coli,1
Escherichia virus HP3,Virulent,NC_041920,Escherichia coli,1
Escherichia virus JMPW1,Virulent,NC_041874,Escherichia coli,1
Escherichia virus JMPW2,Virulent,NC_041873,Escherichia coli,1
Escherichia virus K1ind2,Virulent,NC_041898,Escherichia coli,1
Escherichia virus K1ind1,Virulent,NC_041897,Escherichia coli,1
Escherichia virus Murica,Virulent,NC_041871,Escherichia coli,1
Escherichia virus PA28,Virulent,NC_041935,Escherichia coli,1
